"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 07, 2021","2,088.75","2,098.63","2,113.84","2,053.36","1.01M","-0.00%"
"Jan 31, 2021","2,088.83","1,844.58","2,106.62","1,844.58","14.15M","14.31%"
"Jan 24, 2021","1,827.36","1,912.74","1,921.82","1,797.28","13.22M","-3.45%"
"Jan 17, 2021","1,892.56","1,743.00","1,932.08","1,732.83","9.86M","9.55%"
"Jan 10, 2021","1,727.62","1,777.02","1,784.38","1,711.71","7.42M","-3.91%"
"Jan 03, 2021","1,797.83","1,760.00","1,799.35","1,696.10","9.08M","2.58%"
"Dec 27, 2020","1,752.64","1,744.91","1,788.47","1,728.00","4.47M","1.07%"
"Dec 20, 2020","1,734.16","1,709.13","1,744.11","1,694.00","4.33M","0.46%"
"Dec 13, 2020","1,726.22","1,770.72","1,789.80","1,715.00","9.96M","-2.74%"
"Dec 06, 2020","1,774.80","1,815.55","1,829.29","1,733.53","6.06M","-2.68%"
"Nov 29, 2020","1,823.76","1,775.65","1,843.83","1,747.84","7.22M","2.06%"
"Nov 22, 2020","1,787.02","1,740.22","1,797.01","1,710.18","4.25M","2.92%"
"Nov 15, 2020","1,736.38","1,764.14","1,794.34","1,730.02","5.74M","-2.02%"
"Nov 08, 2020","1,772.26","1,795.98","1,816.89","1,716.12","9.23M","0.71%"
"Nov 01, 2020","1,759.73","1,623.54","1,791.82","1,612.11","10.77M","8.89%"
"Oct 25, 2020","1,616.11","1,614.30","1,681.31","1,510.00","5.00M","-1.03%"
"Oct 18, 2020","1,632.98","1,575.93","1,634.12","1,520.50","9.64M","4.16%"
"Oct 11, 2020","1,567.70","1,538.00","1,588.42","1,529.30","9.65M","3.79%"
"Oct 04, 2020","1,510.45","1,462.65","1,511.85","1,433.23","7.14M","3.77%"
"Sep 27, 2020","1,455.60","1,471.99","1,495.07","1,446.28","8.38M","1.15%"
"Sep 20, 2020","1,439.06","1,431.62","1,463.97","1,402.15","9.67M","-0.83%"
"Sep 13, 2020","1,451.09","1,531.65","1,557.00","1,431.62","9.55M","-4.27%"
"Sep 06, 2020","1,515.76","1,525.00","1,573.66","1,493.02","7.85M","-4.14%"
"Aug 30, 2020","1,581.21","1,643.57","1,726.10","1,537.97","10.91M","-3.55%"
"Aug 23, 2020","1,639.43","1,592.47","1,652.79","1,575.04","7.84M","4.05%"
"Aug 16, 2020","1,575.57","1,515.97","1,591.88","1,505.00","7.00M","4.71%"
"Aug 09, 2020","1,504.63","1,490.80","1,536.97","1,477.49","5.93M","0.42%"
"Aug 02, 2020","1,498.37","1,491.00","1,520.09","1,464.03","8.65M","0.70%"
"Jul 26, 2020","1,487.95","1,513.26","1,540.89","1,454.00","10.41M","-1.34%"
"Jul 19, 2020","1,508.21","1,515.00","1,587.05","1,487.59","7.30M","-0.57%"
"Jul 12, 2020","1,516.85","1,549.94","1,576.36","1,485.93","8.64M","-1.44%"
"Jul 05, 2020","1,539.01","1,488.15","1,541.34","1,476.98","9.83M","4.70%"
"Jun 28, 2020","1,469.93","1,360.34","1,488.52","1,351.65","9.24M","7.88%"
"Jun 21, 2020","1,362.54","1,425.01","1,475.79","1,355.00","11.02M","-4.36%"
"Jun 14, 2020","1,424.64","1,389.49","1,462.20","1,387.20","8.98M","0.83%"
"Jun 07, 2020","1,412.92","1,426.28","1,472.77","1,385.80","9.15M","-1.88%"
"May 31, 2020","1,440.02","1,425.70","1,449.01","1,406.01","7.30M","0.45%"
"May 24, 2020","1,433.52","1,441.96","1,445.11","1,394.60","7.43M","1.44%"
"May 17, 2020","1,413.24","1,361.58","1,417.00","1,354.20","8.82M","2.93%"
"May 10, 2020","1,373.06","1,376.79","1,415.53","1,323.30","9.26M","-0.81%"
"May 03, 2020","1,384.34","1,308.13","1,396.64","1,296.01","8.31M","5.09%"
"Apr 26, 2020","1,317.32","1,292.00","1,360.15","1,230.38","16.90M","3.19%"
"Apr 19, 2020","1,276.60","1,269.89","1,288.15","1,205.00","10.14M","-0.19%"
"Apr 12, 2020","1,279.00","1,201.50","1,290.00","1,182.33","12.66M","6.00%"
"Apr 05, 2020","1,206.57","1,133.00","1,221.99","1,125.00","10.97M","10.42%"
"Mar 29, 2020","1,092.70","1,132.64","1,173.40","1,075.08","14.19M","-1.58%"
"Mar 22, 2020","1,110.26","1,056.37","1,171.48","1,008.87","19.30M","3.94%"
"Mar 15, 2020","1,068.21","1,089.61","1,152.61","1,037.00","21.49M","-12.03%"
"Mar 08, 2020","1,214.27","1,204.96","1,275.85","1,108.47","17.63M","-6.29%"
"Mar 01, 2020","1,295.74","1,351.39","1,408.19","1,257.21","13.93M","-3.25%"
"Feb 23, 2020","1,339.25","1,423.05","1,436.85","1,268.21","14.67M","-9.72%"
"Feb 16, 2020","1,483.46","1,514.34","1,530.74","1,478.49","5.85M","-2.32%"